freq=240.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 508795833, 0, -1660.195923, 965.243408, 1210.308960, 1, 0, 0, 0, 11.52
M, 508800000, 0, -1655.771851, 966.869202, 1210.517578, 1, 0, 0, 0, 13.25
M, 508804167, 0, -1650.473022, 968.533875, 1210.840820, 1, 0, 0, 0, 12.39
M, 508808333, 0, -1645.706543, 970.327026, 1211.363525, 1, 0, 0, 0, 11.20
M, 508812500, 0, -1640.647339, 972.024109, 1211.781860, 1, 0, 0, 0, 11.18
M, 508816667, 0, -1635.231445, 973.627930, 1212.184082, 1, 0, 0, 0, 11.15
M, 508820833, 0, -1628.479370, 974.937317, 1212.588501, 1, 0, 0, 0, 10.90
M, 508825000, 0, -1622.682739, 976.092102, 1212.950195, 1, 0, 0, 0, 10.87
M, 508829167, 0, -1618.440308, 977.434082, 1212.992432, 1, 0, 0, 0, 6.64
M, 508833333, 0, -1614.047485, 979.016174, 1213.324463, 1, 0, 0, 0, 6.94
M, 508837500, 0, -1608.628906, 980.568176, 1213.688599, 1, 0, 0, 0, 11.02
M, 508841667, 0, -1602.220947, 982.421021, 1214.010376, 1, 0, 0, 0, 10.99
M, 508845833, 0, -1596.028931, 984.098877, 1214.320068, 1, 0, 0, 0, 10.96
M, 508850000, 0, -1591.700684, 984.804932, 1214.290649, 1, 0, 0, 0, 7.23
M, 508854167, 0, -1586.441162, 985.737427, 1214.373047, 1, 0, 0, 0, 6.87
M, 508858333, 0, -1580.869995, 987.024719, 1214.727905, 1, 0, 0, 0, 7.53
M, 508862500, 0, -1575.461792, 988.386414, 1215.649536, 1, 0, 0, 0, 8.02
M, 508866667, 0, -1570.586792, 989.693665, 1216.227051, 1, 0, 0, 0, 8.00
M, 508870833, 0, -1565.279419, 991.072937, 1216.703857, 1, 0, 0, 0, 10.88
M, 508875000, 0, -1559.512329, 992.312744, 1216.654053, 1, 0, 0, 0, 10.34
M, 508879167, 0, -1553.633179, 993.841431, 1216.567383, 1, 0, 0, 0, 8.04
M, 508883333, 0, -1547.441650, 995.400513, 1216.319092, 1, 0, 0, 0, 8.02
M, 508887500, 0, -1542.093628, 997.108887, 1215.401367, 1, 0, 0, 0, 7.60
M, 508891667, 0, -1536.135376, 998.487610, 1214.969360, 1, 0, 0, 0, 7.21
M, 508895833, 0, -1529.713989, 999.266418, 1214.741211, 1, 0, 0, 0, 7.07
M, 508900000, 0, -1524.060669, 1000.180176, 1214.269775, 1, 0, 0, 0, 7.05
M, 508904167, 0, -1517.815552, 1001.726074, 1214.396606, 1, 0, 0, 0, 6.87
M, 508908333, 0, -1512.430298, 1003.205688, 1214.019165, 1, 0, 0, 0, 6.69
M, 508912500, 0, -1506.600952, 1004.079285, 1213.656982, 1, 0, 0, 0, 7.01
M, 508916667, 0, -1501.003174, 1005.312622, 1213.323120, 1, 0, 0, 0, 7.00
M, 508920833, 0, -1495.261353, 1006.583496, 1213.009888, 1, 0, 0, 0, 6.98
M, 508925000, 0, -1489.302124, 1008.265442, 1212.922974, 1, 0, 0, 0, 6.52
M, 508929167, 0, -1483.120117, 1009.541077, 1212.705444, 1, 0, 0, 0, 6.78
M, 508933333, 0, -1476.941772, 1010.975159, 1212.405151, 1, 0, 0, 0, 6.77
